,0,1,2,3,4,5,6
35,rd82wh13,0.0001,probzip,-626.8317639238852,-776.1145128708179,"[7.642842046484857, 7.785379147096313, 7.754058467002975, 7.866520691756189, 7.734528741935851, 8.351226590717685, 5.974449472202186, 1.653174291957185]","[7.6428420464848585, 7.785379147096313, 7.754058467002969, 7.866520691756189, 7.7345287419358515, 8.351226590717683, 5.9744494722021875, 1.6531742919571852]"
36,rd82wh13,0.001,probzip,-484.97268396247114,-548.524777696863,"[7.642842046484857, 7.785379147096313, 7.754058467002975, 7.866520691756189, 7.734528741935851, 8.351226590717685, 5.974449472202186, 1.653174291957185]","[7.6428420464848585, 7.785379147096313, 7.754058467002969, 7.866520691756189, 7.7345287419358515, 8.351226590717683, 5.9744494722021875, 1.6531742919571852]"
37,rd82wh13,0.01,probzip,-540.6401504340133,-589.0983594743791,"[7.642842046484857, 7.785379147096313, 7.754058467002975, 7.866520691756189, 7.734528741935851, 8.351226590717685, 5.974449472202186, 1.653174291957185]","[7.6428420464848585, 7.785379147096313, 7.754058467002969, 7.866520691756189, 7.7345287419358515, 8.351226590717683, 5.9744494722021875, 1.6531742919571852]"
38,rd82wh13,0.1,probzip,-637.9610447139988,-682.3901963817564,"[7.642842046484857, 7.785379147096313, 7.754058467002975, 7.866520691756189, 7.734528741935851, 8.351226590717685, 5.974449472202186, 1.653174291957185]","[7.6428420464848585, 7.785379147096313, 7.754058467002969, 7.866520691756189, 7.7345287419358515, 8.351226590717683, 5.9744494722021875, 1.6531742919571852]"
39,rd82wh13,1.0,probzip,-1283.758356685951,-1282.151763096335,"[7.642842046484857, 7.785379147096313, 7.754058467002975, 7.866520691756189, 7.734528741935851, 8.351226590717685, 5.974449472202186, 1.653174291957185]","[7.6428420464848585, 7.785379147096313, 7.754058467002969, 7.866520691756189, 7.7345287419358515, 8.351226590717683, 5.9744494722021875, 1.6531742919571852]"
40,rd49rd79,1e-07,probzip,-531.3538436418447,-625.4326819561284,"[7.465139959288906, 7.606041761095922, 7.379503827386047, 7.6534709768484035, 7.214883713111441, 7.680355107712116, 6.43803159176911, 2.1971310778252495]","[7.465139959288908, 7.60604176109592, 7.379503827386046, 7.6534709768484035, 7.214883713111439, 7.680355107712114, 6.43803159176911, 2.1971310778252495]"
41,rd49rd79,1e-06,probzip,-540.4963343655256,-672.6383770001171,"[7.465139959288906, 7.606041761095922, 7.379503827386047, 7.6534709768484035, 7.214883713111441, 7.680355107712116, 6.43803159176911, 2.1971310778252495]","[7.465139959288908, 7.60604176109592, 7.379503827386046, 7.6534709768484035, 7.214883713111439, 7.680355107712114, 6.43803159176911, 2.1971310778252495]"
42,rd49rd79,1e-05,probzip,-595.6985921027347,-699.1552057909524,"[7.465139959288906, 7.606041761095922, 7.379503827386047, 7.6534709768484035, 7.214883713111441, 7.680355107712116, 6.43803159176911, 2.1971310778252495]","[7.465139959288908, 7.60604176109592, 7.379503827386046, 7.6534709768484035, 7.214883713111439, 7.680355107712114, 6.43803159176911, 2.1971310778252495]"
43,rd49rd79,0.0001,probzip,-533.3698244867475,-644.1751607477729,"[7.465139959288906, 7.606041761095922, 7.379503827386047, 7.6534709768484035, 7.214883713111441, 7.680355107712116, 6.43803159176911, 2.1971310778252495]","[7.465139959288908, 7.60604176109592, 7.379503827386046, 7.6534709768484035, 7.214883713111439, 7.680355107712114, 6.43803159176911, 2.1971310778252495]"
44,rd49rd79,0.001,probzip,-523.5420609646211,-615.374439002013,"[7.465139959288906, 7.606041761095922, 7.379503827386047, 7.6534709768484035, 7.214883713111441, 7.680355107712116, 6.43803159176911, 2.1971310778252495]","[7.465139959288908, 7.60604176109592, 7.379503827386046, 7.6534709768484035, 7.214883713111439, 7.680355107712114, 6.43803159176911, 2.1971310778252495]"
45,rd49rd79,0.01,probzip,-564.6580927601561,-658.3488819662705,"[7.465139959288906, 7.606041761095922, 7.379503827386047, 7.6534709768484035, 7.214883713111441, 7.680355107712116, 6.43803159176911, 2.1971310778252495]","[7.465139959288908, 7.60604176109592, 7.379503827386046, 7.6534709768484035, 7.214883713111439, 7.680355107712114, 6.43803159176911, 2.1971310778252495]"
46,rd49rd79,0.1,probzip,-593.4051470624895,-630.6569742142073,"[7.465139959288906, 7.606041761095922, 7.379503827386047, 7.6534709768484035, 7.214883713111441, 7.680355107712116, 6.43803159176911, 2.1971310778252495]","[7.465139959288908, 7.60604176109592, 7.379503827386046, 7.6534709768484035, 7.214883713111439, 7.680355107712114, 6.43803159176911, 2.1971310778252495]"
47,rd49rd79,1.0,probzip,-1048.687406861471,-1084.1666988444697,"[7.465139959288906, 7.606041761095922, 7.379503827386047, 7.6534709768484035, 7.214883713111441, 7.680355107712116, 6.43803159176911, 2.1971310778252495]","[7.465139959288908, 7.60604176109592, 7.379503827386046, 7.6534709768484035, 7.214883713111439, 7.680355107712114, 6.43803159176911, 2.1971310778252495]"
48,wh08pk40,1e-07,probzip,-441.18223638530264,-502.42178537233923,"[7.685122719050806, 7.545161714723477, 7.7973695024381575, 7.783384119180621, 7.999006632264296, 7.605096382481837, 6.6946345460500405, 2.2288963750379613]","[7.685122719050805, 7.545161714723478, 7.797369502438155, 7.783384119180616, 7.999006632264296, 7.6050963824818405, 6.694634546050042, 2.22889637503796]"
49,wh08pk40,1e-06,probzip,-446.26315480427303,-509.31494326396717,"[7.685122719050806, 7.545161714723477, 7.7973695024381575, 7.783384119180621, 7.999006632264296, 7.605096382481837, 6.6946345460500405, 2.2288963750379613]","[7.685122719050805, 7.545161714723478, 7.797369502438155, 7.783384119180616, 7.999006632264296, 7.6050963824818405, 6.694634546050042, 2.22889637503796]"
50,wh08pk40,1e-05,probzip,-412.5052432278404,-480.0738496267751,"[7.685122719050806, 7.545161714723477, 7.7973695024381575, 7.783384119180621, 7.999006632264296, 7.605096382481837, 6.6946345460500405, 2.2288963750379613]","[7.685122719050805, 7.545161714723478, 7.797369502438155, 7.783384119180616, 7.999006632264296, 7.6050963824818405, 6.694634546050042, 2.22889637503796]"
51,wh08pk40,0.0001,probzip,-438.00966220697745,-494.5903462307467,"[7.685122719050806, 7.545161714723477, 7.7973695024381575, 7.783384119180621, 7.999006632264296, 7.605096382481837, 6.6946345460500405, 2.2288963750379613]","[7.685122719050805, 7.545161714723478, 7.797369502438155, 7.783384119180616, 7.999006632264296, 7.6050963824818405, 6.694634546050042, 2.22889637503796]"
52,wh08pk40,0.001,probzip,-497.0868192742333,-573.6025950469592,"[7.685122719050806, 7.545161714723477, 7.7973695024381575, 7.783384119180621, 7.999006632264296, 7.605096382481837, 6.6946345460500405, 2.2288963750379613]","[7.685122719050805, 7.545161714723478, 7.797369502438155, 7.783384119180616, 7.999006632264296, 7.6050963824818405, 6.694634546050042, 2.22889637503796]"
53,wh08pk40,0.01,probzip,-501.7718595865198,-571.6615133025105,"[7.685122719050806, 7.545161714723477, 7.7973695024381575, 7.783384119180621, 7.999006632264296, 7.605096382481837, 6.6946345460500405, 2.2288963750379613]","[7.685122719050805, 7.545161714723478, 7.797369502438155, 7.783384119180616, 7.999006632264296, 7.6050963824818405, 6.694634546050042, 2.22889637503796]"
54,wh08pk40,0.1,probzip,-545.2099062348492,-602.1060616179591,"[7.685122719050806, 7.545161714723477, 7.7973695024381575, 7.783384119180621, 7.999006632264296, 7.605096382481837, 6.6946345460500405, 2.2288963750379613]","[7.685122719050805, 7.545161714723478, 7.797369502438155, 7.783384119180616, 7.999006632264296, 7.6050963824818405, 6.694634546050042, 2.22889637503796]"
55,wh08pk40,1.0,probzip,-888.828700807669,-925.975175336753,"[7.685122719050806, 7.545161714723477, 7.7973695024381575, 7.783384119180621, 7.999006632264296, 7.605096382481837, 6.6946345460500405, 2.2288963750379613]","[7.685122719050805, 7.545161714723478, 7.797369502438155, 7.783384119180616, 7.999006632264296, 7.6050963824818405, 6.694634546050042, 2.22889637503796]"
56,wh09pk88,1e-07,probzip,-595.6706195614357,-755.0762095888264,"[7.481082580952529, 7.2860966712584725, 7.73327754201196, 7.245706003070197, 7.341454174219335, 7.608959354254548, 6.461047580728454, 2.0940633137662097]","[7.481082580952527, 7.286096671258474, 7.733277542011958, 7.245706003070195, 7.341454174219331, 7.608959354254548, 6.461047580728453, 2.0940633137662097]"
57,wh09pk88,1e-06,probzip,-676.0852058147192,-820.6796546626691,"[7.481082580952529, 7.2860966712584725, 7.73327754201196, 7.245706003070197, 7.341454174219335, 7.608959354254548, 6.461047580728454, 2.0940633137662097]","[7.481082580952527, 7.286096671258474, 7.733277542011958, 7.245706003070195, 7.341454174219331, 7.608959354254548, 6.461047580728453, 2.0940633137662097]"
58,wh09pk88,1e-05,probzip,-566.9317615012652,-654.3244984879923,"[7.481082580952529, 7.2860966712584725, 7.73327754201196, 7.245706003070197, 7.341454174219335, 7.608959354254548, 6.461047580728454, 2.0940633137662097]","[7.481082580952527, 7.286096671258474, 7.733277542011958, 7.245706003070195, 7.341454174219331, 7.608959354254548, 6.461047580728453, 2.0940633137662097]"
59,wh09pk88,0.0001,probzip,-636.5215095375254,-792.5644854734943,"[7.481082580952529, 7.2860966712584725, 7.73327754201196, 7.245706003070197, 7.341454174219335, 7.608959354254548, 6.461047580728454, 2.0940633137662097]","[7.481082580952527, 7.286096671258474, 7.733277542011958, 7.245706003070195, 7.341454174219331, 7.608959354254548, 6.461047580728453, 2.0940633137662097]"
60,wh09pk88,0.001,probzip,-673.9874890687887,-789.5756331876769,"[7.481082580952529, 7.2860966712584725, 7.73327754201196, 7.245706003070197, 7.341454174219335, 7.608959354254548, 6.461047580728454, 2.0940633137662097]","[7.481082580952527, 7.286096671258474, 7.733277542011958, 7.245706003070195, 7.341454174219331, 7.608959354254548, 6.461047580728453, 2.0940633137662097]"
61,wh09pk88,0.01,probzip,-641.6300636906922,-726.7567534766699,"[7.481082580952529, 7.2860966712584725, 7.73327754201196, 7.245706003070197, 7.341454174219335, 7.608959354254548, 6.461047580728454, 2.0940633137662097]","[7.481082580952527, 7.286096671258474, 7.733277542011958, 7.245706003070195, 7.341454174219331, 7.608959354254548, 6.461047580728453, 2.0940633137662097]"
62,wh09pk88,0.1,probzip,-866.3474723032826,-981.4220330538631,"[7.481082580952529, 7.2860966712584725, 7.73327754201196, 7.245706003070197, 7.341454174219335, 7.608959354254548, 6.461047580728454, 2.0940633137662097]","[7.481082580952527, 7.286096671258474, 7.733277542011958, 7.245706003070195, 7.341454174219331, 7.608959354254548, 6.461047580728453, 2.0940633137662097]"
63,wh09pk88,1.0,probzip,-1383.9919836904971,-1376.4657145975634,"[7.481082580952529, 7.2860966712584725, 7.73327754201196, 7.245706003070197, 7.341454174219335, 7.608959354254548, 6.461047580728454, 2.0940633137662097]","[7.481082580952527, 7.286096671258474, 7.733277542011958, 7.245706003070195, 7.341454174219331, 7.608959354254548, 6.461047580728453, 2.0940633137662097]"
