,0,1,2,3,4
55,gr58bu60,0.0001,probzip,-569.4832121846766,-687.0362265557219
56,gr58bu60,0.001,probzip,-518.258967961143,-617.7166339699793
57,gr58bu60,0.01,probzip,-623.7167194177387,-650.7194568971925
58,gr58bu60,0.1,probzip,-700.555586695827,-723.3414270615663
59,gr58bu60,1.0,probzip,-1191.4810512724146,-1211.238988794121
60,rd82wh13,1.0,HCRP,-2305.0435989510866,-6544.5437450265645
61,rd82wh13,10.0,HCRP,-4262.001912954405,-3872.7254860849584
62,rd82wh13,100.0,HCRP,-8947.918638902627,-3484.156418753857
63,rd82wh13,1000.0,HCRP,-14778.008124076247,-4348.914800340877
64,rd82wh13,10000.0,HCRP,-26977.5531489818,-7463.660934708734
65,rd82wh13,100000.0,HCRP,-38883.781247808016,-10568.92109685357
66,rd82wh13,1000000.0,HCRP,-42881.47053167558,-11601.4271375412
67,rd82wh13,1e-07,probzip,-515.9558169118186,-617.3828627213413
68,rd82wh13,1e-06,probzip,-484.31365878240774,-621.6215435832844
69,rd82wh13,1e-05,probzip,-446.38250850763444,-523.3954924626586
70,rd82wh13,0.0001,probzip,-445.1611930294334,-519.9380499365511
71,rd82wh13,0.001,probzip,-405.65248846615617,-456.65274584283
72,rd82wh13,0.01,probzip,-530.6150214635219,-612.1971766499023
73,rd82wh13,0.1,probzip,-647.2101829555651,-681.2079878938642
74,rd82wh13,1.0,probzip,-1226.200511775982,-1250.8757437918189
75,rd49rd79,1.0,HCRP,-4151.458711261814,-2752.3223728880143
76,rd49rd79,10.0,HCRP,-4519.442597152242,-1899.8180894056986
77,rd49rd79,100.0,HCRP,-5480.36923604957,-1762.9711043152274
78,rd49rd79,1000.0,HCRP,-8409.352073861977,-2305.5456654837117
79,rd49rd79,10000.0,HCRP,-20972.709119883824,-5387.422280799976
80,rd49rd79,100000.0,HCRP,-45497.371031633025,-11581.654936855455
81,rd49rd79,1000000.0,HCRP,-60940.85658867403,-15522.898660799801
82,rd49rd79,1e-07,probzip,-594.0472078388188,-682.9935664795883
83,rd49rd79,1e-06,probzip,-597.5430775452558,-706.4926796174431
84,rd49rd79,1e-05,probzip,-551.1225313580704,-655.872110233132
85,rd49rd79,0.0001,probzip,-541.991311335625,-620.6719078210513
86,rd49rd79,0.001,probzip,-537.5360452732615,-597.7214972898737
87,rd49rd79,0.01,probzip,-586.9648634287361,-671.2624787593933
